"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","disease state:ch1","tissue:ch1"
"Normal_5452","Normal_5452","GSM7296273","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586465","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220706","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296273/suppl/GSM7296273_Normal_5452_count.tsv.gz","normal","lung"
"Normal_5453","Normal_5453","GSM7296274","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586464","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220707","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296274/suppl/GSM7296274_Normal_5453_count.tsv.gz","normal","lung"
"Normal_5454","Normal_5454","GSM7296275","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586463","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220708","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296275/suppl/GSM7296275_Normal_5454_count.tsv.gz","normal","lung"
"Normal_5455","Normal_5455","GSM7296276","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586462","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220709","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296276/suppl/GSM7296276_Normal_5455_count.tsv.gz","normal","lung"
"Normal_5456","Normal_5456","GSM7296277","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586461","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220710","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296277/suppl/GSM7296277_Normal_5456_count.tsv.gz","normal","lung"
"Normal_5457","Normal_5457","GSM7296278","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586460","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220711","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296278/suppl/GSM7296278_Normal_5457_count.tsv.gz","normal","lung"
"Normal_5458","Normal_5458","GSM7296279","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586459","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220712","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296279/suppl/GSM7296279_Normal_5458_count.tsv.gz","normal","lung"
"Normal_5459","Normal_5459","GSM7296280","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586458","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220713","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296280/suppl/GSM7296280_Normal_5459_count.tsv.gz","normal","lung"
"Normal_5460","Normal_5460","GSM7296281","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586457","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220714","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296281/suppl/GSM7296281_Normal_5460_count.tsv.gz","normal","lung"
"Normal_5461","Normal_5461","GSM7296282","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586456","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220715","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296282/suppl/GSM7296282_Normal_5461_count.tsv.gz","normal","lung"
"Normal_5462","Normal_5462","GSM7296283","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586455","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220716","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296283/suppl/GSM7296283_Normal_5462_count.tsv.gz","normal","lung"
"Normal_5463","Normal_5463","GSM7296284","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586454","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220717","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296284/suppl/GSM7296284_Normal_5463_count.tsv.gz","normal","lung"
"Normal_5464","Normal_5464","GSM7296285","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586453","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220718","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296285/suppl/GSM7296285_Normal_5464_count.tsv.gz","normal","lung"
"Normal_5465","Normal_5465","GSM7296286","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: normal","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586452","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220719","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296286/suppl/GSM7296286_Normal_5465_count.tsv.gz","normal","lung"
"SSc_5426","SSc_5426","GSM7296287","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586451","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220720","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296287/suppl/GSM7296287_SSc_5426_count.tsv.gz","systemic sclerosis","lung"
"SSc_5427","SSc_5427","GSM7296288","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586450","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220721","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296288/suppl/GSM7296288_SSc_5427_count.tsv.gz","systemic sclerosis","lung"
"SSc_5428","SSc_5428","GSM7296289","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586449","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220722","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296289/suppl/GSM7296289_SSc_5428_count.tsv.gz","systemic sclerosis","lung"
"SSc_5429","SSc_5429","GSM7296290","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586448","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220723","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296290/suppl/GSM7296290_SSc_5429_count.tsv.gz","systemic sclerosis","lung"
"SSc_5430","SSc_5430","GSM7296291","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586447","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220724","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296291/suppl/GSM7296291_SSc_5430_count.tsv.gz","systemic sclerosis","lung"
"SSc_5431","SSc_5431","GSM7296292","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586446","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220725","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296292/suppl/GSM7296292_SSc_5431_count.tsv.gz","systemic sclerosis","lung"
"SSc_5432","SSc_5432","GSM7296293","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586445","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220726","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296293/suppl/GSM7296293_SSc_5432_count.tsv.gz","systemic sclerosis","lung"
"SSc_5433","SSc_5433","GSM7296294","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586444","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220727","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296294/suppl/GSM7296294_SSc_5433_count.tsv.gz","systemic sclerosis","lung"
"SSc_5434","SSc_5434","GSM7296295","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586443","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220728","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296295/suppl/GSM7296295_SSc_5434_count.tsv.gz","systemic sclerosis","lung"
"SSc_5435","SSc_5435","GSM7296296","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586442","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220729","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296296/suppl/GSM7296296_SSc_5435_count.tsv.gz","systemic sclerosis","lung"
"SSc_5436","SSc_5436","GSM7296297","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586441","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220730","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296297/suppl/GSM7296297_SSc_5436_count.tsv.gz","systemic sclerosis","lung"
"SSc_5437","SSc_5437","GSM7296298","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586440","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220731","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296298/suppl/GSM7296298_SSc_5437_count.tsv.gz","systemic sclerosis","lung"
"SSc_5438","SSc_5438","GSM7296299","Public on Jul 26 2023","May 04 2023","Jul 26 2023","SRA","1","lung","Homo sapiens","tissue: lung","disease state: systemic sclerosis","total RNA","Lung tiusue were grinded in liquid nitrogen and total RNA was extracted using the Qiagen RNeasy kit.","Libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Kit.","9606","Sequencing reads were filtered and aligned using HTSeqGenie against the human genome assembly GRCh38.","Assembly: GRCh38","Supplementary files format and content: TSV count matrices","GPL20301","Jason,Anthony,Vander Heiden","vandej27@gene.com","Biological Research AI Development","Genentech","1 DNA Way","South San Francisco","CA","94080","USA","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN34586439","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20220732","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7296nnn/GSM7296299/suppl/GSM7296299_SSc_5438_count.tsv.gz","systemic sclerosis","lung"
